id;from;to;text;text to check;where;number;nouns;determiners;conjuctions;adjectives;prepositions;pronouns;verbs;adverbs;undefined;time
43;NUTE;RUNE;Well, not exactly, but I don't seal off the bridge.;;INT. FEDERATION BATTLESHIP - BRIDGE;10;0;0;0;0;0;0;0;0;0;90
44;RUNE;NUTE;That won't be enough, sir.;;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
45;NUTE;RUNE;I want destroyer droids up here at once!;;INT. FEDERATION BATTLESHIP - BRIDGE;8;0;0;0;0;0;0;0;0;0;72
46;RUNE;NUTE;We will not survive this.;;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
47;NUTE;TEY HOW;Close the blast doors!;;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
48;NUTE;TEY HOW;That will hold them.;;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
49;RUNE;NUTE;They're still coming through!;;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
50;NUTE;RUNE;Impossible! This is impossible!;;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
51;RUNE;NUTE;Where are those destroyer droids?!;;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
52;OBI-WAN;QUI-GON;Master! Destroyers!;;INT. FEDERATION BATTLESHIP - HALLWAY - OUTSIDE BRIDGE;2;0;0;0;0;0;0;0;0;0;18
53;OBI-WAN;QUI-GON;They have shield generators!;;INT. FEDERATION BATTLESHIP - HALLWAY - OUTSIDE BRIDGE;4;0;0;0;0;0;0;0;0;0;36
54;QUI-GON;OBI-WAN;It's a standoff. Let's go.;;INT. FEDERATION BATTLESHIP - HALLWAY - OUTSIDE BRIDGE;5;0;0;0;0;0;0;0;0;0;45
55;RUNE;NUTE;They're no match for destroyer droids.;;INT. FEDERATION BATTLESHIP - BRIDGE;6;0;0;0;0;0;0;0;0;0;54
56;TEY HOW;NUTE;Sir, they've gone up the ventilation shaft.;;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
57;QUI-GON;OBI-WAN;Battle droids.;;INT. FEDERATION BATTLESHIP - MAIN BAY;2;0;0;0;0;0;0;0;0;0;18
58;OBI-WAN;QUI-GON;It's an invasion army.;;INT. FEDERATION BATTLESHIP - MAIN BAY;4;0;0;0;0;0;0;0;0;0;36
59;QUI-GON;OBI-WAN;It's an odd play for the Trade Federation. We've got to warn the Naboo and contact Chancellor Valorum. Let's split up. Stow aboard separate ships and meet down on the planet.;;INT. FEDERATION BATTLESHIP - MAIN BAY;31;0;0;0;0;0;0;0;0;0;279
60;OBI-WAN;QUI-GON;You were right about one thing, Master. The negotiations were short.;;INT. FEDERATION BATTLESHIP - MAIN BAY;11;0;0;0;0;0;0;0;0;0;99
61;TEY HOW;NUTE;Sir, a transmission from the planet.;;INT. FEDERATION BATTLESHIP - BRIDGE;6;0;0;0;0;0;0;0;0;0;54
62;RUNE;NUTE;It's Queen Amidala herself.;;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
63;NUTE;RUNE;At last we're getting results.;;INT. FEDERATION BATTLESHIP - BRIDGE;5;0;0;0;0;0;0;0;0;0;45
64;NUTE;NUTE;Again you come before me, Your highness.;;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
65;AMIDALA;NUTE;You will not be pleased when you hear what I have to say, Viceroy Your trade boycott of our planet has ended.;;INT. FEDERATION BATTLESHIP - BRIDGE;22;0;0;0;0;0;0;0;0;0;198
66;NUTE;AMIDALA;I was not aware of such a failure.;;INT. FEDERATION BATTLESHIP - BRIDGE;8;0;0;0;0;0;0;0;0;0;72
67;AMIDALA;NUTE;I have word that the chancellor's ambassadors are with you now and that you have been commanded to reach settlement.;;INT. FEDERATION BATTLESHIP - BRIDGE;20;0;0;0;0;0;0;0;0;0;180
68;NUTE;AMIDALA;I know nothing of any ambassadors. You must be mistaken.;;INT. FEDERATION BATTLESHIP - BRIDGE;10;0;0;0;0;0;0;0;0;0;90
69;AMIDALA;NUTE;Beware, Viceroy the Federation is going too far this time.;;INT. FEDERATION BATTLESHIP - BRIDGE;10;0;0;0;0;0;0;0;0;0;90
70;NUTE;AMIDALA;We would never do anything without the approval of the senate. You assume too much.;;INT. FEDERATION BATTLESHIP - BRIDGE;15;0;0;0;0;0;0;0;0;0;135
71;AMIDALA;NUTE;We will see.;;INT. FEDERATION BATTLESHIP - BRIDGE;3;0;0;0;0;0;0;0;0;0;27
72;RUNE;NUTE;She's right, the Senate will never;;INT. FEDERATION BATTLESHIP - BRIDGE;6;0;0;0;0;0;0;0;0;0;54
73;NUTE;RUNE;It's too late now.;;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
74;RUNE;NUTE;Do you think she suspects an attack?;;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
75;NUTE;NUTE;I don't know, but we must move quickly to disrupt all communications down there.;;INT. FEDERATION BATTLESHIP - BRIDGE;14;0;0;0;0;0;0;0;0;0;126
76;PALPATINE;AMIDALA;Negotiations haven't started because the ambassadors aren't there? How could that be true? I have assurances from the chancellor his ambassadors did arrive. It must handiwork negotiate ambassadors;;INT. NABOO PALACE - THRONE ROOM;28;0;0;0;0;0;0;0;0;0;252
77;AMIDALA;PALPATINE;Senator Palpatine?!? What's happening?;;INT. NABOO PALACE - THRONE ROOM;4;0;0;0;0;0;0;0;0;0;36
78;CAPT. PANAKA;CONTROLLER;Check the transmission generators;;INT. NABOO PALACE - THRONE ROOM;4;0;0;0;0;0;0;0;0;0;36
79;BIBBLE;AMIDALA;A communications disruption can mean only one thing: invasion.;;INT. NABOO PALACE - THRONE ROOM;9;0;0;0;0;0;0;0;0;0;81
80;CAPT. PANAKA;AMIDALA;It could be the Federation jamming us. Your Highness.;;INT. NABOO PALACE - THRONE ROOM;9;0;0;0;0;0;0;0;0;0;81
81;BIBBLE;AMIDALA;A communications disruption can only mean one thing. Invasion.;;INT. NABOO PALACE - THRONE ROOM;9;0;0;0;0;0;0;0;0;0;81
82;AMIDALA;BIBBLE;The Federation would not dare go that far.;;INT. NABOO PALACE - THRONE ROOM;8;0;0;0;0;0;0;0;0;0;72
83;CAPT. PANAKA;AMIDALA;The Senate would revoke their trade franchise, and they'd be finished.;;INT. NABOO PALACE - THRONE ROOM;11;0;0;0;0;0;0;0;0;0;99
84;AMIDALA;BIBBLE;We must continue to rely on negotiation.;;INT. NABOO PALACE - THRONE ROOM;7;0;0;0;0;0;0;0;0;0;63
85;BIBBLE;AMIDALA;Negotiation? We've lost all communications! and where are the Chancellors Ambassadors?;;INT. NABOO PALACE - THRONE ROOM;11;0;0;0;0;0;0;0;0;0;99
86;CAPT. PANAKA;AMIDALA;This is a dangerous situation, Your Highness. Our security volunteers will be no match against a battle-hardened Federation army.;;INT. NABOO PALACE - THRONE ROOM;19;0;0;0;0;0;0;0;0;0;171
87;AMIDALA;CAPT. PANAKA;I will not condone a course of action that will lead us to war.;;INT. NABOO PALACE - THRONE ROOM;14;0;0;0;0;0;0;0;0;0;126
88;OOM-9;NUTE;Yes, Viceroy ?;;EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX);3;0;0;0;0;0;0;0;0;0;27
89;RUNE;OOM-9;Captain, we've searched the ship and there is no trace of the Jedi. They may have gotten on one of your landing craft.;;EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX);23;0;0;0;0;0;0;0;0;0;207
90;OOM-9;NUTE;If they are down here, sir, we'll find them.;;EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX);9;0;0;0;0;0;0;0;0;0;81
91;NUTE;OOM-9;Use caution. These Jedi are not to be underestimated.;;EXT. NABOO EDGE OF SWAMP / GRASS PLAINS - TWILIGHT (FX);9;0;0;0;0;0;0;0;0;0;81
92;JAR JAR;QUI-GON;Oh, noooooooooo!;;EXT. NABOO SWAMP - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
93;QUI-GON;JAR JAR;Get away! Get out of here! Get down!;;EXT. NABOO SWAMP - TWILIGHT;8;0;0;0;0;0;0;0;0;0;72
94;JAR JAR;QUI-GON;Was'n dat? Hey, wait! Oh, mooie-mooie, I love you.;;EXT. NABOO SWAMP - TWILIGHT;9;0;0;0;0;0;0;0;0;0;81
95;QUI-GON;JAR JAR;Are you brainless? You almost got us killed!;;EXT. NABOO SWAMP - TWILIGHT;8;0;0;0;0;0;0;0;0;0;72
96;JAR JAR;QUI-GON;I spake.;;EXT. NABOO SWAMP - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
97;QUI-GON;JAR JAR;The ability to speak does not make you intelligent. Now get outta here!;;EXT. NABOO SWAMP - TWILIGHT;13;0;0;0;0;0;0;0;0;0;117
98;JAR JAR;QUI-GON;No no! Mesa stay Mesa yous humble servaunt.;;EXT. NABOO SWAMP - TWILIGHT;8;0;0;0;0;0;0;0;0;0;72
99;QUI-GON;JAR JAR;That wont be necessary.;;EXT. NABOO SWAMP - TWILIGHT;4;0;0;0;0;0;0;0;0;0;36
100;JAR JAR;QUI-GON;Oh boot tis! Tis demunded byda guds. Tis a live debett, tis. Mesa culled Jaja Binkss.;;EXT. NABOO SWAMP - TWILIGHT;16;0;0;0;0;0;0;0;0;0;144
101;QUI-GON;JAR JAR;Stay down!;;EXT. NABOO SWAMP - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
102;OBI-WAN;QUI-GON;What's this?;;EXT. NABOO SWAMP - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
103;QUI-GON;OBI-WAN;A local. Let's get out of here before more droids show up.;;EXT. NABOO SWAMP - TWILIGHT;12;0;0;0;0;0;0;0;0;0;108
104;JAR JAR;QUI-GON;"More? ""More"" did you spake? Ex-squeeze-me, but de mostest safest place would be Gunga City.";;EXT. NABOO SWAMP - TWILIGHT;15;0;0;0;0;0;0;0;0;0;135
105;QUI-GON;JAR JAR;A city! Can you take us there?;;EXT. NABOO SWAMP - TWILIGHT;7;0;0;0;0;0;0;0;0;0;63
106;JAR JAR;QUI-GON;Ahhh, will on second taut no, not willy.;;EXT. NABOO SWAMP - TWILIGHT;8;0;0;0;0;0;0;0;0;0;72
107;QUI-GON;JAR JAR;No?!;;EXT. NABOO SWAMP - TWILIGHT;1;0;0;0;0;0;0;0;0;0;9
108;JAR JAR;QUI-GON;Iss embarrissing, boot My afrai my've bean banished. My forgoten der Bosses would do terrible tings to my. Terrible tings if my goen back dare.;;EXT. NABOO SWAMP - TWILIGHT;25;0;0;0;0;0;0;0;0;0;225
109;QUI-GON;JAR JAR;You hear that? That's the sound of a thousand terrible things heading this way;;EXT. NABOO SWAMP - TWILIGHT;14;0;0;0;0;0;0;0;0;0;126
110;OBI-WAN;JAR JAR;When they find us, they will crush us, grind us into little pieces, then blast us into oblivion!;;EXT. NABOO SWAMP - TWILIGHT;18;0;0;0;0;0;0;0;0;0;162
111;JAR JAR;QUI-GON;Oh! Yousa point is well seen. Dis way! Hurry!;;EXT. NABOO SWAMP - TWILIGHT;9;0;0;0;0;0;0;0;0;0;81
112;QUI-GON;JAR JAR;Much farther?;;EXT. NABOO SWAMP LAKE - TWILIGHT;2;0;0;0;0;0;0;0;0;0;18
113;JAR JAR;QUI-GON;Wesa goen underwater, okeyday? My warning yous. Gungans no liken outlaunders. Don't expict a wern welcome.;;EXT. NABOO SWAMP LAKE - TWILIGHT;16;0;0;0;0;0;0;0;0;0;144
114;OBI-WAN;JAR JAR;Don't worry, this has not been our day for warm welcomes.;;EXT. NABOO SWAMP LAKE - TWILIGHT;11;0;0;0;0;0;0;0;0;0;99
115;JAR JAR;QUI-GON;Yousa follow me now, okeyday?;;EXT. NABOO SWAMP LAKE - TWILIGHT;5;0;0;0;0;0;0;0;0;0;45
116;JAR JAR;QUI-GON;Yousa follow me now, okeyday?;;EXT. NABOO SWAMP LAKE - TWILIGHT;5;0;0;0;0;0;0;0;0;0;45
117;JAR JAR;QUI-GON;Yousa follow me now, okeyday?;;EXT. NABOO SWAMP LAKE - TWILIGHT;5;0;0;0;0;0;0;0;0;0;45
118;CAPT. TARPALS;JAR JAR;Hey, yousa. Stopa dare.;;INT. OTOH GUNGA - CITY SQUARE;4;0;0;0;0;0;0;0;0;0;36
119;JAR JAR;CAPT. TARPALS;Heyo-dales, Cap'n Tarpals. Mesa back.;;INT. OTOH GUNGA - CITY SQUARE;5;0;0;0;0;0;0;0;0;0;45
120;CAPT. TARPALS;JAR JAR;Noah gain, Jar Jar. Yousa goen tada Bosses. Yousa in big dudu this time.;;INT. OTOH GUNGA - CITY SQUARE;14;0;0;0;0;0;0;0;0;0;126
121;JAR JAR;CAPT. TARPALS;How wude.;;INT. OTOH GUNGA - CITY SQUARE;2;0;0;0;0;0;0;0;0;0;18
122;BOSS NASS;QUI-GON;Yousa cannot bees hair. Dis army of mackineeks up dare tis new weesong!;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;13;0;0;0;0;0;0;0;0;0;117
123;QUI-GON;BOSS NASS;That droid army is about to attack the Naboo. We must warn them.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;13;0;0;0;0;0;0;0;0;0;117
124;BOSS NASS;QUI-GON;Wesa no like da Naboo! Un dey no like uss-ens. Da Naboo tink day so smarty den us-ens. Day tink day brains so big.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;24;0;0;0;0;0;0;0;0;0;216
125;OBI-WAN;BOSS NASS;After those droids take control of the surface, they will come here and take control of you.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;17;0;0;0;0;0;0;0;0;0;153
126;BOSS NASS;OBI-WAN;No, mesa no tink so. Mesa scant talkie witda Naboo, and no nutten talkie it outlaunders. Dos mackineeks no comen here! Dey not know of uss-en.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;26;0;0;0;0;0;0;0;0;0;234
127;OBI-WAN;BOSS NASS;You and the Naboo form a symbiont circle. What happens to one of you will affect the other. You must understand this.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;22;0;0;0;0;0;0;0;0;0;198
128;BOSS NASS;OBI-WAN;Wesa wish no nutten in yousa tings, outlaunder, and wesa no care-n about da Naboo.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;15;0;0;0;0;0;0;0;0;0;135
129;QUI-GON;BOSS NASS;Then speed us on our way.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;6;0;0;0;0;0;0;0;0;0;54
130;BOSS NASS;QUI-GON;Wesa gonna speed yousaway.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;4;0;0;0;0;0;0;0;0;0;36
131;QUI-GON;BOSS NASS;We need a transport.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;4;0;0;0;0;0;0;0;0;0;36
132;BOSS NASS;QUI-GON;Wesa give yousa una bongo. Da speedest way tooda Naboo tis goen through da core. Now go.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;17;0;0;0;0;0;0;0;0;0;153
133;QUI-GON;BOSS NASS;Thank you for your help. We go in peace.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;9;0;0;0;0;0;0;0;0;0;81
134;OBI-WAN;QUI-GON;Master, whats a bongo?;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;4;0;0;0;0;0;0;0;0;0;36
135;QUI-GON;OBI-WAN;A transport, I hope.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;4;0;0;0;0;0;0;0;0;0;36
136;JAR JAR;QUI-GON;Daza setten yous up. Goen through da planet core is bad bombin!;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;12;0;0;0;0;0;0;0;0;0;108
137;OBI-WAN;QUI-GON;We are short of time, Master.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;6;0;0;0;0;0;0;0;0;0;54
138;QUI-GON;OBI-WAN;We'll need a navigator to get us through the planet's core. This Gungan my be of help.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;17;0;0;0;0;0;0;0;0;0;153
139;QUI-GON;BOSS NASS;What is to become of Jar Jar Binks here?;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;9;0;0;0;0;0;0;0;0;0;81
140;BOSS NASS;QUI-GON;Binkss brokeen the nocombackie law. Hisen to be pune-ished.;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;9;0;0;0;0;0;0;0;0;0;81
141;QUI-GON;BOSS NASS;"I saved his life. He owes me what you call a ""life-debt."" Your gods demand that his life belongs to me now.";;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;23;0;0;0;0;0;0;0;0;0;207
142;BOSS NASS;JAR JAR;Binks. Yousa havena liveplay with thisen hisen?;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;7;0;0;0;0;0;0;0;0;0;63
143;BOSS NASS;QUI-GON;Begone wit him!;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;3;0;0;0;0;0;0;0;0;0;27
144;JAR JAR;QUI-GON;Count me outta dis one. Better dead here than dead in da core. Yee gods! What mesa sayin?;;INT. OTOH GUNGA - HIGH TOWER BOARD ROOM;18;0;0;0;0;0;0;0;0;0;162
145;JAR JAR;OBI-WAN;DDis is nutsen. Oh, gooberfish!;;INT. SUB COCKPIT - UNDERWATER;5;0;0;0;0;0;0;0;0;0;45
146;OBI-WAN;JAR JAR;Why were you banished, Jar Jar?;;INT. SUB COCKPIT - UNDERWATER;6;0;0;0;0;0;0;0;0;0;54
147;JAR JAR;OBI-WAN;Tis a long tale, buta small part wawdabe mesa ooooh aaaa clumsy.;;INT. SUB COCKPIT - UNDERWATER;12;0;0;0;0;0;0;0;0;0;108
148;OBI-WAN;JAR JAR;They banished you because you're clumsy?;;INT. SUB COCKPIT - UNDERWATER;6;0;0;0;0;0;0;0;0;0;54
149;JAR JAR;OBI-WAN;Mesa cause-ed mabee one or duey lettal bitty axadentes yud-say boom da gasser, un crash Der Bosses heyblibber den banished.;;INT. SUB COCKPIT - UNDERWATER;20;0;0;0;0;0;0;0;0;0;180
150;QUI-GON;OBI-WAN;There's always a bigger fish.;;INT. SUB COCKPIT - UNDERWATER;5;0;0;0;0;0;0;0;0;0;45
151;JAR JAR;OBI-WAN;Mesa tink we goen back now.;;INT. SUB COCKPIT - UNDERWATER;6;0;0;0;0;0;0;0;0;0;54
152;NUTE;DARTH SIDIOUS;The invasion is on schedule, My Lord.;;INT. FEDERATION BATTLESHIP - BRIDGE;7;0;0;0;0;0;0;0;0;0;63
153;DARTH SIDIOUS;NUTE;I have the Senate bogged down in procedures. By the time this incident comes up for a vote, they will have no choice but to accept your control of the system.;;INT. FEDERATION BATTLESHIP - BRIDGE;31;0;0;0;0;0;0;0;0;0;279
154;NUTE;DARTH SIDIOUS;The Queen has great faith the Senate will side with her.;;INT. FEDERATION BATTLESHIP - BRIDGE;11;0;0;0;0;0;0;0;0;0;99
155;DARTH SIDIOUS;NUTE;Queen Amidala is yound and naive. You will find controlling her will not be difficult.;;INT. FEDERATION BATTLESHIP - BRIDGE;15;0;0;0;0;0;0;0;0;0;135
156;NUTE;DARTH SIDIOUS;Thank you, My Lord.;;INT. FEDERATION BATTLESHIP - BRIDGE;4;0;0;0;0;0;0;0;0;0;36
157;RUNE;NUTE;You didn't tell him about the missing Jedi?;;INT. FEDERATION BATTLESHIP - BRIDGE;8;0;0;0;0;0;0;0;0;0;72
158;NUTE;RUNE;No need to report that to him, until we have something to report.;;INT. FEDERATION BATTLESHIP - BRIDGE;13;0;0;0;0;0;0;0;0;0;117
159;JAR JAR;QUI-GON;Where wesa goin?;;INT. SUB COCKPIT - UNDERWATER;3;0;0;0;0;0;0;0;0;0;27
160;QUI-GON;JAR JAR;Don't worry. The Force will guide us.;;INT. SUB COCKPIT - UNDERWATER;7;0;0;0;0;0;0;0;0;0;63
161;JAR JAR;QUI-GON;Oh, maxi big, da Force. Well, dat smells stinkowiff.;;INT. SUB COCKPIT - UNDERWATER;9;0;0;0;0;0;0;0;0;0;81
162;OBI-WAN;;we're losing power.;;INT. SUB COCKPIT - UNDERWATER;3;0;0;0;0;0;0;0;0;0;27
