id;from;to;text;where;number;nouns;determiners;conjuctions;adjectives;prepositions;pronouns;verbs;adverbes;undefined;time
25;MACE WINDU;;But if they do, you must realise there aren't enough Jedi to protect the Republic. We are keepers of the peace, not soldiers.;INT. CHANCELLOR'S OFFICE - DAY;23;0;0;0;0;0;0;0;0;0;
26;PALPATINE;;Master Yoda, do you think it will really come to war?;INT. CHANCELLOR'S OFFICE - DAY;11;0;0;0;0;0;0;0;0;0;
27;YODA;;Worse than war, I fear... Much worse.;INT. CHANCELLOR'S OFFICE - DAY;7;0;0;0;0;0;0;0;0;0;
28;PALPATINE;;What?;INT. CHANCELLOR'S OFFICE - DAY;1;0;0;0;0;0;0;0;0;0;
29;MACE WINDU;;What do you sense, Master?;INT. CHANCELLOR'S OFFICE - DAY;5;0;0;0;0;0;0;0;0;0;
30;YODA;;Impossible to see ... The Dark Side clouds everything. But this I am sure of - (opens his eyes) Do their duty the Jedi will.;INT. CHANCELLOR'S OFFICE - DAY;21;0;0;0;0;0;0;0;0;0;
31;DAR WAC;;The loyalist committee has arrived, my Lord.;INT. CHANCELLOR'S OFFICE - DAY;7;0;0;0;0;0;0;0;0;0;
32;PALPATINE;;Send them in.;INT. CHANCELLOR'S OFFICE - DAY;3;0;0;0;0;0;0;0;0;0;
33;YODA;;With you the force is strong... young Senator. To see you alive brings warm feeling to my heart.;INT. CHANCELLOR'S OFFICE - DAY;18;0;0;0;0;0;0;0;0;0;
34;PADME;;Thank you, Master Yoda. Do you have any idea who was behind the attack?;INT. CHANCELLOR'S OFFICE - DAY;14;0;0;0;0;0;0;0;0;0;
35;MACE WINDU;;Our intelligence points to disgruntled spice miners, on the moons of Naboo.;INT. CHANCELLOR'S OFFICE - DAY;12;0;0;0;0;0;0;0;0;0;
36;PADME;;I don't wish to disagree but I think that Count Dooku was behind it.;INT. CHANCELLOR'S OFFICE - DAY;14;0;0;0;0;0;0;0;0;0;
37;MACE WINDU;;You know, M'Lady, COUNT DOOKU was once a Jedi. He wouldn't assassinate anyone, it is not in his character.;INT. CHANCELLOR'S OFFICE - DAY;19;0;0;0;0;0;0;0;0;0;
38;KI-ADI-MUNDI;;He is a political idealist, not a murderer.;INT. CHANCELLOR'S OFFICE - DAY;8;0;0;0;0;0;0;0;0;0;
39;YODA;;In dark times nothing is what it appears to be, but the fact remains Senator, in grave danger you are.;INT. CHANCELLOR'S OFFICE - DAY;20;0;0;0;0;0;0;0;0;0;
40;PALPATINE;;Count Dooku has always avoided any kind of conflict. It appears he has no desire to start a war. Why would he kill you? To what end?;INT. CHANCELLOR'S OFFICE - DAY;27;0;0;0;0;0;0;0;0;0;
41;PADME;;I don't know, but everything in my being tells me he was behind it...;INT. CHANCELLOR'S OFFICE - DAY;14;0;0;0;0;0;0;0;0;0;
42;PALPATINE;;Master Jedi, may I suggest that the Senator be placed under the protection of your graces.;INT. CHANCELLOR'S OFFICE - DAY;16;0;0;0;0;0;0;0;0;0;
43;BAIL ORGANA;;Do you think that is a wise use of manpower during these stressful times?;INT. CHANCELLOR'S OFFICE - DAY;14;0;0;0;0;0;0;0;0;0;
44;PADME;;Chancellor, if I may comment, I do not believe the...;INT. CHANCELLOR'S OFFICE - DAY;10;0;0;0;0;0;0;0;0;0;
45;PALPATINE;;"...""situation is that serious."" No, but I do, Senator.";INT. CHANCELLOR'S OFFICE - DAY;10;0;0;0;0;0;0;0;0;0;
46;PADME;;Chancellor, please! I don't want any more guards!;INT. CHANCELLOR'S OFFICE - DAY;8;0;0;0;0;0;0;0;0;0;
47;PALPATINE;;I realise all too well that additional security might be disruptive for you, but perhaps someone you are familiar with... an old friend like... Master Kenobi...;INT. CHANCELLOR'S OFFICE - DAY;26;0;0;0;0;0;0;0;0;0;
48;MACE WINDU;;That's possible. He has just returned from a Border dispute on Ansion.;INT. CHANCELLOR'S OFFICE - DAY;12;0;0;0;0;0;0;0;0;0;
49;PALPATINE;;You must remember him, M'Lady... he watched over you during the blockade conflict.;INT. CHANCELLOR'S OFFICE - DAY;13;0;0;0;0;0;0;0;0;0;
50;PADME;;This is not necessary, Chancellor.;INT. CHANCELLOR'S OFFICE - DAY;5;0;0;0;0;0;0;0;0;0;
51;PALPATINE;;Do it for me, M'Lady, please. I will rest easier. We had a big scare today. The thought of losing you is unbearable.;INT. CHANCELLOR'S OFFICE - DAY;23;0;0;0;0;0;0;0;0;0;
52;MACE WINDU;;I will have Obi-Wan report to you immediately, M'Lady.;INT. CHANCELLOR'S OFFICE - DAY;9;0;0;0;0;0;0;0;0;0;
53;YODA;;Too little about yourself you worry, Senator, and too much about politics. Be mindful of your danger, PADME. Accept our help.;INT. CHANCELLOR'S OFFICE - DAY;21;0;0;0;0;0;0;0;0;0;
54;PALPATINE;;I will not like this Republiv, that has stood for over a thousand years, be split in two;INT. CHANCELLOR'S OFFICE - DAY;18;0;0;0;0;0;0;0;0;0;
55;JAR JAR;;Obi! Obi! Obi! Mesa sooo smilen to see'en yousa. Wahoooooo!;INT. SENATE BUILDING, APARTMENT CORRIDOR - EVENING;10;0;0;0;0;0;0;0;0;0;
56;OBI-WAN;;It's Good to see you, too, Jar Jar.;INT. SENATE BUILDING, APARTMENT CORRIDOR - EVENING;8;0;0;0;0;0;0;0;0;0;
57;JAR JAR;;Oops! Wheresa mesa manners? Excuse me, Master Obi-Wan. I completely forgot myself for a moment there. I have had to learn Diplodiaclect... speak it like a native now. Don't really see the point, actually, but members of the Senate seem to prefer it...;INT. SENATE BUILDING, APARTMENT CORRIDOR - EVENING;43;0;0;0;0;0;0;0;0;0;
58;JAR JAR;;(continuing) ...and this, I take it, is your apprentice... Nooooooooo! Annie? Noooooooo! Little Bitty Annie? (Looks at Anakin) Nooooooo! Yousa so biggen! Yiyiyiyyi! Annie!! Mesa no believen.;INT. SENATE BUILDING, APARTMENT CORRIDOR - EVENING;9;0;0;0;0;0;0;0;0;0;
59;ANAKIN;;Hi, Jar Jar.;INT. SENATE BUILDING, APARTMENT CORRIDOR - EVENING;3;0;0;0;0;0;0;0;0;0;
60;JAR JAR;;Annie! Annie! Yiyiyiyiyiyiiii!;INT. SENATE BUILDING, APARTMENT CORRIDOR - EVENING;3;0;0;0;0;0;0;0;0;0;
61;JAR JAR;;Lookie... lookie... Oops!... Oh, dear, I'm afraid I've forgotten myself again.;INT. SENATE BUILDING, APARTMENT - EVENING;11;0;0;0;0;0;0;0;0;0;
62;OBI-WAN;;It's a great pleasure to see you again, M'Lady.;INT. SENATE BUILDING, APARTMENT - EVENING;9;0;0;0;0;0;0;0;0;0;
63;PADME;;It has been far too long Master Kenobi. I'm so glad our paths have crossed again... but I must warn you that I think your presence here is unnecessary.;INT. SENATE BUILDING, APARTMENT - EVENING;29;0;0;0;0;0;0;0;0;0;
64;OBI-WAN;;I'm sure the Jedi Council have their reasons.;INT. SENATE BUILDING, APARTMENT - EVENING;8;0;0;0;0;0;0;0;0;0;
65;PADME;;Annie?? (stares) My goodness you've grown.;INT. SENATE BUILDING, APARTMENT - EVENING;5;0;0;0;0;0;0;0;0;0;
66;ANAKIN;;(trying to be smooth) So have you... grown more beautiful, I mean... and much shorter... for a Senator, I mean.;INT. SENATE BUILDING, APARTMENT - EVENING;16;0;0;0;0;0;0;0;0;0;
67;PADME;;Oh Annie, you'll always be that little boy I knew on Tatooine.;INT. SENATE BUILDING, APARTMENT - EVENING;12;0;0;0;0;0;0;0;0;0;
68;OBI-WAN;;Our presence will be invisible, M'Lady.;INT. SENATE BUILDING, APARTMENT - EVENING;6;0;0;0;0;0;0;0;0;0;
69;CAPTAIN TYPHO;;I am very grateful you are here, Master Kenobi. The situation is more dangerous than the Senator will admit.;INT. SENATE BUILDING, APARTMENT - EVENING;19;0;0;0;0;0;0;0;0;0;
70;PADME;;I don't need more security, I need answers. I want to know who is trying to kill me.;INT. SENATE BUILDING, APARTMENT - EVENING;18;0;0;0;0;0;0;0;0;0;
71;OBI-WAN;;(frowning) We're here to protect you Senator, not to start an investigation.;INT. SENATE BUILDING, APARTMENT - EVENING;11;0;0;0;0;0;0;0;0;0;
72;ANAKIN;;We will find out who is trying to kill you PADME, I promise you.;INT. SENATE BUILDING, APARTMENT - EVENING;14;0;0;0;0;0;0;0;0;0;
73;OBI-WAN;;We are not going to exceed our mandate, my young Padawan learner.;INT. SENATE BUILDING, APARTMENT - EVENING;12;0;0;0;0;0;0;0;0;0;
74;ANAKIN;;I meant in the interest of protecting her, Master, of course.;INT. SENATE BUILDING, APARTMENT - EVENING;11;0;0;0;0;0;0;0;0;0;
75;OBI-WAN;;We are not going through this exercise again, Anakin. You will pay attention to my lead.;INT. SENATE BUILDING, APARTMENT - EVENING;16;0;0;0;0;0;0;0;0;0;
76;ANAKIN;;Why?;INT. SENATE BUILDING, APARTMENT - EVENING;1;0;0;0;0;0;0;0;0;0;
77;OBI-WAN;;What??!!;INT. SENATE BUILDING, APARTMENT - EVENING;1;0;0;0;0;0;0;0;0;0;
78;ANAKIN;;Why else do you think we were assigned to her, if not to find the killer? Protection is a job for local security... not Jedi. It's overkill, Master. Investigation is implied in our mandate.;INT. SENATE BUILDING, APARTMENT - EVENING;34;0;0;0;0;0;0;0;0;0;
79;OBI-WAN;;We will do as the Council has instructed, and you will learn your place, young one.;INT. SENATE BUILDING, APARTMENT - EVENING;16;0;0;0;0;0;0;0;0;0;
80;PADME;;Perhaps with merely your presence, the mysteries surrounding this threat will be revealed. Now if you will excuse me I will retire.;INT. SENATE BUILDING, APARTMENT - EVENING;22;0;0;0;0;0;0;0;0;0;
81;CAPTAIN TYPHO;;Well, I know I feel a lot better having you here. I'll have an officer on every floor and I'll be at the command centre downstairs.;INT. SENATE BUILDING, APARTMENT - EVENING;26;0;0;0;0;0;0;0;0;0;
82;JAR JAR;;Mesa busten wit happiness seein Yousa again, Annie. Deesa bad times, bombad times.;INT. SENATE BUILDING, APARTMENT - EVENING;13;0;0;0;0;0;0;0;0;0;
83;ANAKIN;;She didn't even recognize me, Jar Jar. I thought about her every day since we parted... and she's forgotten me completely.;INT. SENATE BUILDING, APARTMENT - EVENING;21;0;0;0;0;0;0;0;0;0;
84;JAR JAR;;Shesa happy. Happier den mesa see-en her in longo time.;INT. SENATE BUILDING, APARTMENT - EVENING;10;0;0;0;0;0;0;0;0;0;
85;OBI-WAN;;Anakin, you're focusing on the Negative again. Be mindful of your thoughts. She was glad to see us. Now lets check the security here.;INT. SENATE BUILDING, APARTMENT - EVENING;24;0;0;0;0;0;0;0;0;0;
86;ANAKIN;;Yes, my master.;INT. SENATE BUILDING, APARTMENT - EVENING;3;0;0;0;0;0;0;0;0;0;
87;MACE WINDU;;Why couldn't we see this attack on the Senator?;INT. JEDI TEMPLE, CORRIDOR - EVENING;9;0;0;0;0;0;0;0;0;0;
88;YODA;;Masking the future, is this disturbance in the Force.;INT. JEDI TEMPLE, CORRIDOR - EVENING;9;0;0;0;0;0;0;0;0;0;
89;MACE WINDU;;The propecy is coming true, the Dark Side is growing.;INT. JEDI TEMPLE, CORRIDOR - EVENING;10;0;0;0;0;0;0;0;0;0;
90;YODA;;And only those who have turned to the Dark Side can sense the possibilities of the future. Only going through the Dark Side can we see.;INT. JEDI TEMPLE, CORRIDOR - EVENING;26;0;0;0;0;0;0;0;0;0;
91;MACE WINDU;;It's been ten years, and the Sith still have no shown themselves. Do you think they are behind this?;INT. JEDI TEMPLE, CORRIDOR - EVENING;19;0;0;0;0;0;0;0;0;0;
92;YODA;;...Out there, they are. A certainty that is.;INT. JEDI TEMPLE, CORRIDOR - EVENING;8;0;0;0;0;0;0;0;0;0;
93;MACE WINDU;;Do you think Obi-Wan's apprentice will be able to bring balance to the Force?;INT. JEDI TEMPLE, CORRIDOR - EVENING;14;0;0;0;0;0;0;0;0;0;
94;YODA;;Only if he chooses to follow his destiny.;INT. JEDI TEMPLE, CORRIDOR - EVENING;8;0;0;0;0;0;0;0;0;0;
95;OBI-WAN;;Captain Typho has more than enough men downstairs. No assassin will try that way. Any activity up here?;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;18;0;0;0;0;0;0;0;0;0;
96;ANAKIN;;Quiet as a tomb. I don't like just waiting here for something to happen to her.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;16;0;0;0;0;0;0;0;0;0;
97;OBI-WAN;;What's going on?;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;3;0;0;0;0;0;0;0;0;0;
98;ANAKIN;;She covered that camera. I don't think she liked me watching her.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;12;0;0;0;0;0;0;0;0;0;
99;OBI-WAN;;What is she thinking?;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;4;0;0;0;0;0;0;0;0;0;
100;ANAKIN;;She programmed ARTOO to warn us if there's an intruder.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;10;0;0;0;0;0;0;0;0;0;
101;OBI-WAN;;It's not an intruder I'm worried about. There are many other ways to kill a Senator.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;16;0;0;0;0;0;0;0;0;0;
102;ANAKIN;;I know, but we also want to catch this assassin. Don't we, Master?;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;13;0;0;0;0;0;0;0;0;0;
103;OBI-WAN;;You're using her as bait??;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;5;0;0;0;0;0;0;0;0;0;
104;ANAKIN;;It was her idea... No harm will come to her. I can sense everything going on in that room. Trust me.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;21;0;0;0;0;0;0;0;0;0;
105;OBI-WAN;;It's too risky... and your senses aren't that attuned, young apprentice.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;11;0;0;0;0;0;0;0;0;0;
106;ANAKIN;;And yours are?;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;3;0;0;0;0;0;0;0;0;0;
107;OBI-WAN;;Possibly.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN R0OM - NIGHT;1;0;0;0;0;0;0;0;0;0;
108;OBI-WAN;;You look tired.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;3;0;0;0;0;0;0;0;0;0;
109;ANAKIN;;I don't sleep well, anymore.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;5;0;0;0;0;0;0;0;0;0;
110;OBI-WAN;;Because of your mother?;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;4;0;0;0;0;0;0;0;0;0;
111;ANAKIN;;I don't know why I keep dreaming About her now. I haven't seen her since I was little.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;18;0;0;0;0;0;0;0;0;0;
112;OBI-WAN;;Dreams pass in time.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;4;0;0;0;0;0;0;0;0;0;
113;ANAKIN;;I'd rather dream of PADME. Just Being around her again is... intoxicating.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;12;0;0;0;0;0;0;0;0;0;
114;OBI-WAN;;Mind your thoughts, Anakin, they betray you. You've made a commitment to the Jedi order... a commitment not easily broken... and don't forget she's a politician. They're not to be trusted.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;31;0;0;0;0;0;0;0;0;0;
115;ANAKIN;;She's not like the others in the Senate, Master.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;9;0;0;0;0;0;0;0;0;0;
116;OBI-WAN;;It's been my experience that Senators are only focused on pleasing those who fund their campaigns... and they are more than willing to forget the niceties of democracy to get those funds.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;32;0;0;0;0;0;0;0;0;0;
117;ANAKIN;;Not another lecture, Master. Not on the economics of politics.... It's too early in the morning... and besides, you're generalising. The Chancellor doesn't appear to be corrupt.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;27;0;0;0;0;0;0;0;0;0;
118;OBI-WAN;;Palpatine's a politician, I've observed that he is very clever at following the passions and prejudices of the Senators.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;19;0;0;0;0;0;0;0;0;0;
119;ANAKIN;;I think he is a good man. My instincts are very positive about...;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;13;0;0;0;0;0;0;0;0;0;
120;OBI-WAN;;I sense it, too.;INT. SENATE BUILDING, AMIDALA'S APARTMENT, MAIN ROOM - NIGHT;4;0;0;0;0;0;0;0;0;0;
121;ANAKIN;;Stay here!;INT. SENATE BUILDING, AMIDALA'S APARTMENT - NIGHT;2;0;0;0;0;0;0;0;0;0;
122;OBI-WAN;;I have a bad feeling about this.;EXT. CITYSCAPE, CORUSCANT - NIGHT;7;0;0;0;0;0;0;0;0;0;
123;ANAKIN;;That was wacky! I almost lost you in the traffic.;EXT. CITYSCAPE, CORUSCANT - NIGHT;10;0;0;0;0;0;0;0;0;0;
124;OBI-WAN;;What took you so long?;EXT. CITYSCAPE, CORUSCANT - NIGHT;5;0;0;0;0;0;0;0;0;0;
125;ANAKIN;;Oh, you know, Master, I couldn't find a speeder I really liked, with an open cockpit... and with the right speed capabilities... and then you know I had to get a really gonzo color...;EXT. CITYSCAPE, CORUSCANT - NIGHT;34;0;0;0;0;0;0;0;0;0;
126;OBI-WAN;;If you'd spend as much time working on your saber skills as you do on your wit, young Padawan, you would rival Master Yoda as a swordsman.;EXT. CITYSCAPE, CORUSCANT - NIGHT;27;0;0;0;0;0;0;0;0;0;
127;ANAKIN;;I thought I already did.;EXT. CITYSCAPE, CORUSCANT - NIGHT;5;0;0;0;0;0;0;0;0;0;
128;OBI-WAN;;Only in your mind, my very young apprentice. Careful!! Hey, easy!!;EXT. CITYSCAPE, CORUSCANT - NIGHT;11;0;0;0;0;0;0;0;0;0;
129;ANAKIN;;Sorry, I forgot you don't like flying, Master.;EXT. CITYSCAPE, CORUSCANT - NIGHT;8;0;0;0;0;0;0;0;0;0;
130;OBI-WAN;;I don't mind flying... but what you're doing is suicide!;EXT. CITYSCAPE, CORUSCANT - NIGHT;10;0;0;0;0;0;0;0;0;0;
131;ANAKIN;;Master, you know I've been flying since before I could walk. I'm very good at this.;EXT. CITYSCAPE, CORUSCANT - NIGHT;16;0;0;0;0;0;0;0;0;0;
132;OBI-WAN;;Just slow down!;EXT. CITYSCAPE, CORUSCANT - NIGHT;3;0;0;0;0;0;0;0;0;0;
133;OBI-WAN;;(continuing) Wait! Don't go in there!;EXT. CITYSCAPE, CORUSCANT - NIGHT;5;0;0;0;0;0;0;0;0;0;
134;OBI-WAN;;(continuing) You know I don't like it when you do that!;EXT. CITYSCAPE, CORUSCANT - NIGHT;10;0;0;0;0;0;0;0;0;0;
135;ANAKIN;;Sorry, Master. Don't worry, this guy's gonna kill himself any minute now!;EXT. CITYSCAPE, CORUSCANT - NIGHT;12;0;0;0;0;0;0;0;0;0;
136;OBI-WAN;;What are you doing? He's gonna blast me!;EXT. CITYSCAPE, CORUSCANT - NIGHT;8;0;0;0;0;0;0;0;0;0;
137;ANAKIN;;Right - this isn't working.;EXT. CITYSCAPE, CORUSCANT - NIGHT;5;0;0;0;0;0;0;0;0;0;
138;OBI-WAN;;That was too close!;EXT. CITYSCAPE, CORUSCANT - NIGHT;4;0;0;0;0;0;0;0;0;0;
139;ANAKIN;;Clear that!;EXT. CITYSCAPE, CORUSCANT - NIGHT;2;0;0;0;0;0;0;0;0;0;
140;OBI-WAN;;What??;EXT. CITYSCAPE, CORUSCANT - NIGHT;1;0;0;0;0;0;0;0;0;0;
141;ANAKIN;;Clear the flag! We're losing power! Hurry!;EXT. CITYSCAPE, CORUSCANT - NIGHT;7;0;0;0;0;0;0;0;0;0;
142;OBI-WAN;;Whooooaaa! Don't do that! I don't like it when you do that!;EXT. CITYSCAPE, CORUSCANT - NIGHT;12;0;0;0;0;0;0;0;0;0;
143;ANAKIN;;So sorry, Master.;EXT. CITYSCAPE, CORUSCANT - NIGHT;3;0;0;0;0;0;0;0;0;0;
144;OBI-WAN;;It's dangerous near those power couplings! Slow down! Don't go through there!;EXT. CITYSCAPE, CORUSCANT - NIGHT;12;0;0;0;0;0;0;0;0;0;
145;OBI-WAN;;(continuing) Yiiii, what are you doing?;EXT. CITYSCAPE, CORUSCANT - NIGHT;5;0;0;0;0;0;0;0;0;0;
146;ANAKIN;;Sorry, Master!;EXT. CITYSCAPE, CORUSCANT - NIGHT;2;0;0;0;0;0;0;0;0;0;
147;OBI-WAN;;(sarcastically) Oh, that was good...;EXT. CITYSCAPE, CORUSCANT - NIGHT;4;0;0;0;0;0;0;0;0;0;
148;ANAKIN;;That was crazy!!!;EXT. CITYSCAPE, CORUSCANT - NIGHT;3;0;0;0;0;0;0;0;0;0;
149;ANAKIN;;(continuing) Ahh, damn.;EXT. CITYSCAPE, CORUSCANT - NIGHT;2;0;0;0;0;0;0;0;0;0;
150;OBI-WAN;;Stop!!;EXT. CITYSCAPE, CORUSCANT - NIGHT;1;0;0;0;0;0;0;0;0;0;
151;ANAKIN;;No, we can make it.;EXT. CITYSCAPE, CORUSCANT - NIGHT;5;0;0;0;0;0;0;0;0;0;
152;OBI-WAN;;I'm crazy... I'm crazy... I'm crazy.;EXT. CITYSCAPE, CORUSCANT - NIGHT;6;0;0;0;0;0;0;0;0;0;
153;ANAKIN;;But it worked... we made it.;EXT. CITYSCAPE, CORUSCANT - NIGHT;6;0;0;0;0;0;0;0;0;0;
154;OBI-WAN;;(angrily) It didn't work... we've stalled! And you almost got us killed!;EXT. CITYSCAPE, CORUSCANT - NIGHT;11;0;0;0;0;0;0;0;0;0;
155;ANAKIN;;I think we're still alive.;EXT. CITYSCAPE, CORUSCANT - NIGHT;5;0;0;0;0;0;0;0;0;0;
156;OBI-WAN;;(very angrily) It was stupid!;EXT. CITYSCAPE, CORUSCANT - NIGHT;3;0;0;0;0;0;0;0;0;0;
157;ANAKIN;;(sheepishly) I could have made it...;EXT. CITYSCAPE, CORUSCANT - NIGHT;5;0;0;0;0;0;0;0;0;0;
158;OBI-WAN;;(furious) But you didn't!!! And now we've lost him.;EXT. CITYSCAPE, CORUSCANT - NIGHT;8;0;0;0;0;0;0;0;0;0;
159;ANAKIN;;No we didn’t...;EXT. CITYSCAPE, CORUSCANT - NIGHT;3;0;0;0;0;0;0;0;0;0;
160;OBI-WAN;;Where are you going?! He went down there, the other way.;EXT. CITYSCAPE, CORUSCANT - NIGHT;11;0;0;0;0;0;0;0;0;0;
161;ANAKIN;;This is a shortcut... I think.;EXT. CITYSCAPE, CORUSCANT - NIGHT;6;0;0;0;0;0;0;0;0;0;
